"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"375","Alberta","2008/2009","University","Total, registration status","Total, student status",93774,"AB"
"376","Alberta","2011/2012","College","Part-time student","Canadian students",21459,"AB"
"377","Alberta","2006/2007","University","Full-time student","Total, student status",67551,"AB"
"378","Alberta","2011/2012","University","Full-time student","Canadian students",88095,"AB"
"379","Alberta","2011/2012","University","Full-time student","International students",8997,"AB"
"380","Alberta","2006/2007","University","Total, registration status","Canadian students",89049,"AB"
"381","Alberta","2003/2004","University","Total, registration status","Canadian students",80463,"AB"
"382","Alberta","2011/2012","University","Total, registration status","Canadian students",119727,"AB"
"383","Alberta","2010/2011","College","Full-time student","Total, student status",37371,"AB"
"384","Alberta","2009/2010","University","Part-time student","International students",855,"AB"
"385","Alberta","2001/2002","College","Part-time student","Total, student status",13434,"AB"
"386","Alberta","2006/2007","University","Part-time student","International students",558,"AB"
"387","Alberta","2006/2007","University","Total, registration status","International students",5103,"AB"
"388","Alberta","2012/2013","University","Total, registration status","Canadian students",120720,"AB"
"389","Alberta","2006/2007","University","Full-time student","International students",4542,"AB"
